Date__c,Amount__c,Method__c,Source_Account__c,Target_Account__c,Subject__c,RecordTypeId
1/1/2022,-542.12,Online Transfer,,001Dn0000033D9YIAU,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,-1073.29,Online Transfer,,001Dn0000033D9dIAE,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,-771.88,Online Transfer,,001Dn0000033D9eIAE,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,4114.86,Online Transfer,,001Dn0000033D9ZIAU,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,6000.95,Online Transfer,,001Dn0000033D9aIAE,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,5994.98,Online Transfer,,001Dn0000033D9jIAE,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,6006.75,Online Transfer,,001Dn0000033D9nIAE,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,15000.00,Online Transfer,,001Dn0000033D9oIAE,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,98.00,Online Transfer,,001Dn0000033D9iIAE,INITIAL LOAD,012Dn000000tI9EIAU
2022-01-01,16.60,Online Transfer,,001Dn0000033D9fIAE,INITIAL LOAD,012Dn000000tI9EIAU
Date__c,Amount__c,Method__c,Source_Account__c,Target_Account__c,Subject__c,RecordTypeId
2022-01-02,450.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9eIAE,Paid off card - BR Visa,012Dn000000tI9JIAU
Date__c,Amount__c,Method__c,Source_Account__c,Target_Account__c,Subject__c,RecordTypeId
2022-01-14,1000.00,Card Payoff,001Dn0000033D9jIAE,001Dn0000033D9dIAE,Paid off card - FNBO Visa,012Dn000000tI9JIAU
2022-01-20,500.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9YIAU,Paid off card - WF Visa,012Dn000000tI9JIAU
2022-01-29,80.00,ATM Withdrawal,001Dn0000033D9ZIAU,001Dn0000033D9iIAE,Cash withdrawal,012Dn000000tI9EIAU
Date__c,Amount__c,Method__c,Source_Account__c,Target_Account__c,Subject__c,RecordTypeId
2022-02-05,35.00,Venmo Transfer,001Dn0000033D9fIAE,001Dn0000033D9ZIAU,Payment liaison from Kawai to Emily Duesenberg,012Dn000000tI9EIAU
2022-02-10,813.86,Card Payoff,001Dn0000033D9jIAE,001Dn0000033D9dIAE,Paid off card - FNBO Visa,012Dn000000tI9JIAU
Date__c,Amount__c,Method__c,Source_Account__c,Target_Account__c,Subject__c,RecordTypeId
2022-02-10,621.88,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9eIAE,Paid off card - BR Visa,012Dn000000tI9JIAU
2022-02-11,91.90,Venmo Transfer,001Dn0000033D9fIAE,001Dn0000033D9ZIAU,Transfer Balance,012Dn000000tI9EIAU
2022-02-15,100.00,Venmo Transfer,001Dn0000033D9fIAE,001Dn0000033D9ZIAU,Transfer Balance,012Dn000000tI9EIAU
2022-02-17,2000.00,Online Transfer,001Dn0000033D9aIAE,001Dn0000033D9ZIAU,Transfer Balance,012Dn000000tI9EIAU
2022-02-17,2000.00,Online Transfer,001Dn0000033D9nIAE,001Dn0000033D9jIAE,Transfer Balance,012Dn000000tI9EIAU
2022-02-17,4000.00,Online Transfer,001Dn0000033D9ZIAU,001Dn0000033D9oIAE,Transfer Balance,012Dn000000tI9EIAU
2022-02-17,4000.00,Online Transfer,001Dn0000033D9jIAE,001Dn0000033D9oIAE,Transfer Balance,012Dn000000tI9EIAU
2022-02-18,80.00,ATM Withdrawal,001Dn0000033D9ZIAU,001Dn0000033D9iIAE,Transfer Balance,012Dn000000tI9EIAU
2022-02-20,475.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9YIAU,Paid off card - WF Visa,012Dn000000tI9JIAU
