Date__c,Amount__c,Account__c,Method__c,Subject__c,RecordTypeId,record type,category,Reflected_Online__c
2022-01-02,40,001Dn0000033D9ZIAU,Zelle Transfer,Paid back by Kawai for drinks on NYE,012Dn000000tHzmIAE,Reimbursement,(R) Recreation,1
2022-01-02,694,001Dn0000033D9ZIAU,Zelle Transfer,Kawai Rent,012Dn000000tHzmIAE,Reimbursement,(R) Rent & Utilities,1
2022-01-02,36,001Dn0000033D9ZIAU,Zelle Transfer,Kawai Internet,012Dn000000tHzmIAE,Reimbursement,(R) Internet,1
2022-01-07,674.17,001Dn0000033D9ZIAU,Direct Deposit,FNBO - salary income,012Dn000000tHzhIAE,Regular,,1
2022-01-21,676.23,001Dn0000033D9ZIAU,Direct Deposit,FNBO - salary income,012Dn000000tHzhIAE,Regular,,1
2022-01-23,35,001Dn0000033D9ZIAU,Zelle Transfer,Paid back by Kawai for champagne and coat,012Dn000000tHzmIAE,Reimbursement,(R) Groceries & Gas,1
2022-01-25,17,001Dn0000033D9ZIAU,Zelle Transfer,Paid back by Kawai for Craft burgers,012Dn000000tHzmIAE,Reimbursement,(R) Food & Leisure,1
2022-02-01,694,001Dn0000033D9ZIAU,Zelle Transfer,Kawai Rent,012Dn000000tHzmIAE,Reimbursement,(R) Rent & Utilities,1
2022-02-01,36,001Dn0000033D9ZIAU,Zelle Transfer,Kawai Internet,012Dn000000tHzmIAE,Reimbursement,(R) Internet,1
2022-02-04,674.17,001Dn0000033D9ZIAU,Direct Deposit,FNBO - salary income,012Dn000000tHzhIAE,Regular,,1
2022-02-18,676.18,001Dn0000033D9ZIAU,Direct Deposit,FNBO - salary income,012Dn000000tHzhIAE,Regular,,1
2022-03-04,721.14,001Dn0000033D9ZIAU,Direct Deposit,FNBO - salary income,012Dn000000tHzhIAE,Regular,,1
2022-03-15,10,001Dn0000033D9ZIAU,Zelle Transfer,Paid by Kawai for something I don't know,012Dn000000tHzmIAE,Reimbursement,,1
2022-03-16,280,001Dn0000033D9ZIAU,Direct Deposit,Nebraska Tax Return,012Dn000000tHzhIAE,Regular,,1
2022-03-17,27.37,001Dn0000033D9ZIAU,Online Transfer,Sold old tubes on Reverb,012Dn000000tHzhIAE,Regular,,1
2022-03-17,941,001Dn0000033D9ZIAU,Direct Deposit,Federal Tax Return,012Dn000000tHzhIAE,Regular,,1
2022-03-18,723.28,001Dn0000033D9ZIAU,Direct Deposit,FNBO - salary income,012Dn000000tHzhIAE,Regular,,1
